Artifact Type,Program/Capability,App ID,Source Hive,Last Used Start / Last Execution,Registry Path,Key Modified,Raw Hex
DAM,\SystemRoot\System32\drivers\MSTEE.sys,MSTEE,,,ROOT\ControlSet001\Services\MSTEE,2019-03-19T04:52:01.912751,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 4D 53 54 45 4
DAM,\SystemRoot\System32\drivers\MTConfig.sys,MTConfig,,,ROOT\ControlSet001\Services\MTConfig,2019-03-19T04:52:07.741340,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 4D 54 43 6F 6
DAM,System32\Drivers\mup.sys,Mup,,,ROOT\ControlSet001\Services\Mup,2019-03-19T04:53:37.881229,53 79 73 74 65 6D 33 32 5C 44 72 69 76 65 72 73 5C 6D 75 70 2E 73 79 73
DAM,System32\drivers\mvumis.sys,mvumis,,,ROOT\ControlSet001\Services\mvumis,2026-03-01T06:34:38.897299,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6D 76 75 6D 69 73 2E 73 79 73
DAM,system32\DRIVERS\nwifi.sys,NativeWifiP,,,ROOT\ControlSet001\Services\NativeWifiP,2019-03-19T04:53:37.881229,73 79 73 74 65 6D 33 32 5C 44 52 49 56 45 52 53 5C 6E 77 69 66 69 2E 73 79 73
DAM,%SystemRoot%\system32\svchost.exe -k netsvcs -p,NaturalAuthentication,,,ROOT\ControlSet001\Services\NaturalAuthentication,2019-03-19T04:54:23.650494,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k NetSvcs -p,NcaSvc,,,ROOT\ControlSet001\Services\NcaSvc,2019-03-19T04:54:23.650494,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p,NcbService,,,ROOT\ControlSet001\Services\NcbService,2026-03-01T06:35:56.449048,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork -p,NcdAutoSetup,,,ROOT\ControlSet001\Services\NcdAutoSetup,2019-03-19T04:54:23.650494,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,\SystemRoot\System32\drivers\ndfltr.sys,ndfltr,,,ROOT\ControlSet001\Services\ndfltr,2019-03-19T04:52:14.069967,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 64 66 6C 7
